Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Ketel Marte","ARI",147,637,554,152,91,31,3,27,94,86,70,6,104,7,5,1,,6,1,0.27356,0.109412,0.162694,0.672501,0.358933,0.486653,0.361575,0.845586,0.213093,4.34911,0.290334,-0.0850714,-0.494265,100.36,25.0937,132.291,-0.579337,-0.213246,23.799987077713013,-0.13824550807476044,4.58922,32.27000045776367,,,,,,,897.6,6.106122448,897.6,6.106122448,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"Patrick Bailey","SFG",133,525,473,108,74,20,2,11,53,53,41,0,137,3,5,2,,3,0,0.227896,0.0785849,0.260481,0.301692,0.291168,0.349033,0.282246,0.640202,0.121138,3.81268,0.293502,-0.333101,-0.385414,48.8819,-13.1273,81.3262,-0.718515,12.1732,-12.33352667093277,22.42320728302002,4.57231,999,,,,,,,442.3,3.325563909,442.3,3.325563909,,,,,,,,,,,,,,,,,,,"Patrick Bailey","27478",672275
"William Contreras","MIL",152,610,531,143,94,29,1,20,80,77,71,4,116,4,4,0,,6,2,0.270074,0.11667,0.189735,0.614911,0.357735,0.439919,0.346447,0.797653,0.169845,3.57737,0.309403,-0.513625,-0.699925,88.6139,16.5377,123.667,-1.21355,-0.068014,15.89712941646576,7.481986157596111,4.49833,55.16999816894531,,,,,,,778.4,5.121052631,778.4,5.121052631,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
"Wyatt Langford","TEX",149,644,558,144,87,29,2,25,90,80,75,3,145,6,4,1,,22,6,0.257438,0.116811,0.225886,0.517126,0.349007,0.453333,0.347007,0.802339,0.195895,5.2642,0.302393,0.53987,0.926009,93.8456,17.7521,124.989,1.46588,4.5251,20.433284163475037,1.22509765625,4.48372,40.83000183105469,,,,,,,846.9,5.683892617,846.9,5.683892617,,,,,,,,,,,,,,,,,,,"Wyatt Langford","33333",694671
"Trea Turner","PHI",149,644,591,167,114,30,4,19,92,73,42,1,118,6,4,2,,28,5,0.282587,0.0657175,0.183243,0.358635,0.334479,0.442454,0.336212,0.776933,0.159866,6.51006,0.323311,1.41708,2.55104,88.2014,12.1079,114.291,3.96812,0.198051,14.875716924667358,7.098051533102989,4.44034,26.280000686645508,,,,,,,815.8,5.475167785,815.8,5.475167785,,,,,,,,,,,,,,,,,,,"Trea Turner","16252",607208
"Yordan Alvarez","HOU",130,560,475,140,81,28,1,30,83,85,71,11,97,7,6,1,,3,1,0.294382,0.126975,0.172581,0.735741,0.390642,0.544722,0.393412,0.935364,0.25034,3.32746,0.311321,-0.755013,-0.847957,102.704,36.5357,156.126,-1.60297,-0.0978913,35.44163477420807,-11.897890515625477,4.38082,33.06999969482422,,,,,,,914.8,7.036923076,914.8,7.036923076,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Corey Seager","TEX",131,567,495,133,81,26,0,26,77,78,63,11,103,5,4,0,,3,0,0.26824,0.110845,0.182,0.60904,0.353897,0.478543,0.353445,0.83244,0.210303,2.54972,0.288938,-0.870398,-0.588988,85.5887,18.5933,129.424,-1.45939,0.593381,18.203946113586426,4.918381035327911,4.36235,95.69000244140625,,,,,,,779.3,5.948854961,779.3,5.948854961,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
"Matt Chapman","SFG",156,672,583,141,81,31,2,27,89,84,77,1,165,8,4,0,,9,3,0.241515,0.114351,0.246189,0.464484,0.335843,0.438634,0.336864,0.774477,0.197119,4.28946,0.28893,-0.0757015,-0.47189,92.3924,12.9904,118.742,-0.547591,3.38719,14.379247486591339,5.787185430526733,4.35074,165.9499969482422,,,,,,,825.4,5.291025641,825.4,5.291025641,,,,,,,,,,,,,,,,,,,"Matt Chapman","16505",656305
"Bo Bichette","NYM",152,658,608,177,122,34,1,19,81,86,42,1,107,4,4,1,,6,3,0.290769,0.0635865,0.162797,0.390586,0.338422,0.446846,0.339467,0.785268,0.156077,3.39324,0.324279,0.267116,-1.21099,91.858,14.1103,121.432,-0.943875,4.26081,15.77037000656128,4.86081326007843,4.35064,95.72000122070312,,,,,,,807.1,5.309868421,807.1,5.309868421,,,,,,,,,,,,,,,,,,,"Bo Bichette","19612",666182
"Jackson Merrill","SDP",146,630,576,155,97,29,5,24,82,84,42,2,121,4,5,3,,7,3,0.269637,0.0664568,0.191434,0.347153,0.320785,0.462207,0.335127,0.782992,0.19257,4.87544,0.301361,1.039,-0.707381,85.7292,11.2898,118.897,0.331617,4.79609,14.441364377737045,6.846086263656616,4.32247,70.62000274658203,,,,,,,773.1,5.295205479,773.1,5.295205479,,,,,,,,,,,,,,,,,,,"Jackson Merrill","29490",701538
"Zach Neto","LAA",154,665,595,152,88,34,1,28,94,85,46,4,159,18,4,3,,28,9,0.254987,0.0689783,0.23928,0.288274,0.325115,0.458831,0.336674,0.783946,0.203845,5.66364,0.299854,0.47352,0.959062,91.3271,12.7522,115.288,1.43258,-1.38573,13.414828658103943,5.739274501800537,4.30146,29.719999313354492,,,,,,,843.7,5.478571428,843.7,5.478571428,,,,,,,,,,,,,,,,,,,"Zach Neto","31347",687263
"Adley Rutschman","BAL",141,566,495,126,79,27,1,19,68,68,64,2,89,3,4,0,,1,0,0.254518,0.112556,0.157424,0.714986,0.340368,0.426483,0.333809,0.766851,0.171965,2.5005,0.274327,-0.369172,-0.819432,76.4684,9.54388,115.937,-1.1886,2.77147,9.450172901153564,8.846467971801758,4.00715,150.8300018310547,,,,,,,676.1,4.79503546,676.1,4.79503546,,,,,,,,,,,,,,,,,,,"Adley Rutschman","26288",668939
